,Date Time,Open,High,Low,Close,Volume
0,2021-01-26 07:34:00,1324.4,1327.7,1324.3,1326.8,478706.9011
1,2021-01-26 07:35:00,1326.6,1326.6,1318.2,1318.5,961734.0573
2,2021-01-26 07:36:00,1318.5,1319.0,1313.5,1318.0,2505637.2288
3,2021-01-26 07:37:00,1318.0,1325.0,1317.9,1321.3,1076061.7915
4,2021-01-26 07:38:00,1321.3,1323.6,1318.2,1319.6,894121.1523
5,2021-01-26 07:39:00,1319.6,1320.8,1316.5,1320.8,736851.6326
6,2021-01-26 07:40:00,1320.8,1324.9,1317.1,1317.1,6988974.2328
7,2021-01-26 07:41:00,1317.0,1317.4,1309.4,1309.6,5188826.6518
8,2021-01-26 07:42:00,1309.5,1312.5,1308.3,1310.1,6965163.6828
9,2021-01-26 07:43:00,1310.4,1310.7,1300.6,1301.5,13680144.8477
10,2021-01-26 07:44:00,1301.1,1306.0,1300.5,1301.3,8818058.9104
11,2021-01-26 07:45:00,1301.2,1306.0,1298.1,1299.2,4790504.5927
12,2021-01-26 07:46:00,1299.2,1302.4,1294.2,1296.0,4125023.7125
13,2021-01-26 07:47:00,1295.9,1299.6,1295.9,1298.3,1251521.8011
14,2021-01-26 07:48:00,1298.3,1305.0,1297.8,1302.2,5751627.771
15,2021-01-26 07:49:00,1302.2,1303.0,1298.6,1302.8,1666058.6849
16,2021-01-26 07:50:00,1302.8,1310.3,1302.8,1307.3,2704319.1786
17,2021-01-26 07:51:00,1307.3,1310.9,1303.9,1310.4,2813788.5366
18,2021-01-26 07:52:00,1310.4,1314.5,1310.2,1312.7,2255494.8825
19,2021-01-26 07:53:00,1312.7,1312.7,1310.1,1311.5,969796.0811
20,2021-01-26 07:54:00,1311.5,1312.3,1309.0,1310.5,1158745.3239
21,2021-01-26 07:55:00,1310.5,1319.8,1309.4,1316.0,3210609.9542
22,2021-01-26 07:56:00,1316.0,1316.6,1313.7,1315.0,708862.8313
23,2021-01-26 07:57:00,1314.9,1316.4,1312.6,1313.7,534226.5621
24,2021-01-26 07:58:00,1313.7,1315.0,1312.2,1314.2,750150.5905
25,2021-01-26 07:59:00,1314.2,1314.2,1310.8,1311.8,1485722.2164
26,2021-01-26 08:00:00,1311.8,1322.3,1305.0,1321.1,5928714.9092
27,2021-01-26 08:01:00,1321.8,1326.1,1321.1,1324.4,3470326.1228
28,2021-01-26 08:02:00,1324.4,1326.4,1324.1,1325.6,890288.3638
29,2021-01-26 08:03:00,1325.6,1325.6,1321.9,1322.7,524271.4709
30,2021-01-26 08:04:00,1322.7,1324.1,1320.4,1322.4,812593.1745
31,2021-01-26 08:05:00,1322.4,1327.0,1321.6,1327.0,1438022.2848
32,2021-01-26 08:06:00,1327.1,1330.4,1326.2,1329.5,2561454.0572
33,2021-01-26 08:07:00,1329.5,1329.7,1326.8,1327.1,982537.1373
34,2021-01-26 08:08:00,1327.1,1331.5,1326.9,1330.2,1141816.9016
35,2021-01-26 08:09:00,1330.3,1332.0,1325.9,1325.9,1086034.1358
36,2021-01-26 08:10:00,1325.9,1328.4,1324.5,1324.9,696451.4438
37,2021-01-26 08:11:00,1324.9,1325.1,1322.9,1324.2,1059866.5246
38,2021-01-26 08:12:00,1324.1,1324.3,1320.8,1321.0,944693.6023
39,2021-01-26 08:13:00,1321.1,1325.5,1319.1,1319.8,2169342.2613
40,2021-01-26 08:14:00,1319.9,1322.8,1318.3,1321.3,1206185.2912
41,2021-01-26 08:15:00,1321.3,1324.5,1320.6,1324.4,482785.0766
42,2021-01-26 08:16:00,1324.4,1325.8,1324.2,1324.8,332702.0865
43,2021-01-26 08:17:00,1324.8,1330.6,1324.4,1329.4,1928677.9352
44,2021-01-26 08:18:00,1329.4,1329.7,1324.7,1325.1,439895.6733
45,2021-01-26 08:19:00,1325.1,1325.7,1320.7,1322.2,1015657.1902
46,2021-01-26 08:20:00,1321.8,1322.5,1319.7,1320.6,809442.3671
47,2021-01-26 08:21:00,1320.6,1325.2,1320.6,1324.9,747771.6972
48,2021-01-26 08:22:00,1324.9,1328.7,1324.9,1328.1,607931.5309
49,2021-01-26 08:23:00,1328.1,1328.2,1323.6,1327.0,466749.3128
50,2021-01-26 08:24:00,1326.9,1327.0,1323.8,1324.6,285755.0115
51,2021-01-26 08:25:00,1324.6,1329.0,1324.6,1324.9,1047016.1072
52,2021-01-26 08:26:00,1324.9,1326.1,1323.2,1323.8,712248.5663
53,2021-01-26 08:27:00,1323.8,1326.2,1322.2,1326.2,370710.3987
54,2021-01-26 08:28:00,1326.2,1326.2,1321.3,1322.3,250152.0841
55,2021-01-26 08:29:00,1322.3,1324.8,1321.2,1324.3,256850.8081
56,2021-01-26 08:30:00,1324.3,1325.0,1319.6,1320.0,343091.8
57,2021-01-26 08:31:00,1320.0,1321.5,1316.3,1319.0,1979958.4694
58,2021-01-26 08:32:00,1318.9,1319.3,1317.1,1317.5,346283.0138
59,2021-01-26 08:33:00,1317.4,1318.9,1316.9,1317.9,239688.5806
60,2021-01-26 08:34:00,1317.9,1319.4,1316.8,1318.0,208982.4396
61,2021-01-26 08:35:00,1317.9,1320.2,1316.7,1318.6,813155.5833
62,2021-01-26 08:36:00,1318.6,1318.7,1316.6,1317.2,376784.72
63,2021-01-26 08:37:00,1317.2,1320.3,1317.2,1320.1,656704.8728
64,2021-01-26 08:38:00,1320.1,1321.4,1318.1,1320.3,1898209.0755
65,2021-01-26 08:39:00,1320.3,1322.3,1319.7,1322.0,516936.7856
66,2021-01-26 08:40:00,1322.0,1328.0,1321.7,1327.7,1088272.5173
67,2021-01-26 08:41:00,1327.7,1329.0,1326.2,1326.2,434656.3334
68,2021-01-26 08:42:00,1326.2,1328.8,1325.9,1328.3,200597.7007
69,2021-01-26 08:43:00,1328.2,1328.6,1326.3,1328.5,282364.2403
70,2021-01-26 08:44:00,1328.5,1331.1,1327.8,1329.0,2007450.7985
71,2021-01-26 08:45:00,1329.0,1329.2,1323.7,1324.1,1304178.9183
72,2021-01-26 08:46:00,1324.1,1325.5,1323.0,1324.1,1068967.879
73,2021-01-26 08:47:00,1324.1,1326.1,1324.1,1326.1,119381.9003
74,2021-01-26 08:48:00,1326.1,1329.4,1326.1,1328.1,634196.2987
75,2021-01-26 08:49:00,1328.1,1332.1,1328.1,1330.3,514040.5268
