Timestamp,Open,High,Low,Close,Volume,symbol,Date
1563580800.0,225.93,235.52,221.63,228.76,351861.37936,ETH-PERP,2019-07-20
1563667200.0,228.76,229.96,217.72,225.51,36855.11088,ETH-PERP,2019-07-21
1563753600.0,225.51,228.33,212.0,217.19,259523.19569,ETH-PERP,2019-07-22
1563840000.0,217.19,219.25,208.53,211.92,905194.02875,ETH-PERP,2019-07-23
1563926400.0,211.92,218.19,200.4,216.46,644354.32163,ETH-PERP,2019-07-24
1564012800.0,216.46,226.0,215.6,219.17,184366.90298,ETH-PERP,2019-07-25
1564099200.0,219.17,220.23,213.29,219.16,104434.69835,ETH-PERP,2019-07-26
1564185600.0,219.16,225.33,202.59,207.02,267252.65852,ETH-PERP,2019-07-27
1564272000.0,207.01,218.0,197.79,211.35,175470.49159,ETH-PERP,2019-07-28
1564358400.0,211.38,215.18,206.6,210.7,312387.84076,ETH-PERP,2019-07-29
1564444800.0,210.7,214.47,204.49,209.94,358634.25991,ETH-PERP,2019-07-30
1564531200.0,209.94,219.07,209.69,218.68,1759007.41916,ETH-PERP,2019-07-31
1564617600.0,218.68,219.4,211.04,217.5,1967907.45283,ETH-PERP,2019-08-01
1564704000.0,217.37,222.8,213.51,217.8,3366258.53011,ETH-PERP,2019-08-02
1564790400.0,217.8,224.73,216.82,222.22,1361332.86484,ETH-PERP,2019-08-03
1564876800.0,222.22,223.84,217.69,222.7,930769.66635,ETH-PERP,2019-08-04
1564963200.0,222.7,237.07,222.66,233.46,3910937.22168,ETH-PERP,2019-08-05
1565049600.0,233.46,239.68,222.9,226.06,2047251.26531,ETH-PERP,2019-08-06
1565136000.0,226.06,231.63,220.64,226.14,1695346.98785,ETH-PERP,2019-08-07
1565222400.0,226.14,226.81,215.42,221.28,1249768.26154,ETH-PERP,2019-08-08
1565308800.0,221.28,221.68,206.86,210.15,323937.70643,ETH-PERP,2019-08-09
1565395200.0,210.15,214.78,200.54,205.89,1243067.97154,ETH-PERP,2019-08-10
1565481600.0,205.99,216.65,205.63,216.39,229600.3923,ETH-PERP,2019-08-11
1565568000.0,216.39,216.55,209.76,211.32,248887.2859,ETH-PERP,2019-08-12
1565654400.0,211.32,211.4,204.35,208.71,12276940.08487,ETH-PERP,2019-08-13
1565740800.0,208.71,209.3,182.02,186.34,10724726.64308,ETH-PERP,2019-08-14
1565827200.0,186.16,189.22,173.83,187.91,2980037.0168,ETH-PERP,2019-08-15
1565913600.0,187.91,188.08,176.0,185.14,6630179.21698,ETH-PERP,2019-08-16
1566000000.0,185.14,186.83,182.04,185.56,14483058.65592,ETH-PERP,2019-08-17
1566086400.0,185.56,198.15,183.32,194.66,11606924.44538,ETH-PERP,2019-08-18
1566172800.0,194.66,203.6,193.07,202.51,6838534.47518,ETH-PERP,2019-08-19
1566259200.0,202.51,202.85,194.75,196.74,6113346.71215,ETH-PERP,2019-08-20
1566345600.0,196.74,197.17,180.37,187.32,3292235.3111,ETH-PERP,2019-08-21
1566432000.0,187.32,195.12,182.82,190.64,3332278.53765,ETH-PERP,2019-08-22
1566518400.0,190.64,196.62,188.68,194.67,1766106.45734,ETH-PERP,2019-08-23
1566604800.0,194.67,194.7,186.02,191.06,2049958.61177,ETH-PERP,2019-08-24
1566691200.0,191.06,192.85,182.95,186.68,2462536.11004,ETH-PERP,2019-08-25
1566777600.0,186.7,195.1,185.8,188.47,4811898.22124,ETH-PERP,2019-08-26
1566864000.0,188.5,189.19,184.56,187.2,2268737.14415,ETH-PERP,2019-08-27
1566950400.0,187.2,188.19,164.3,172.87,4250531.26613,ETH-PERP,2019-08-28
1567036800.0,172.87,173.34,163.65,168.77,3583139.93628,ETH-PERP,2019-08-29
1567123200.0,168.79,170.24,165.44,168.23,2806303.06109,ETH-PERP,2019-08-30
1567209600.0,168.23,174.77,165.82,171.76,3254514.21098,ETH-PERP,2019-08-31
1567296000.0,171.76,173.56,167.96,171.17,2284096.6497,ETH-PERP,2019-09-01
1567382400.0,171.17,181.43,170.36,178.72,940672.16431,ETH-PERP,2019-09-02
1567468800.0,178.72,183.42,174.55,179.03,4070084.87721,ETH-PERP,2019-09-03
1567555200.0,179.03,180.43,173.97,174.97,783478.58352,ETH-PERP,2019-09-04
1567641600.0,174.97,175.91,169.59,174.13,1368737.56742,ETH-PERP,2019-09-05
1567728000.0,174.13,178.57,165.01,169.21,1270769.24143,ETH-PERP,2019-09-06
1567814400.0,169.21,181.26,168.49,178.18,620686.19233,ETH-PERP,2019-09-07
1567900800.0,178.18,184.85,176.75,181.61,2115785.49411,ETH-PERP,2019-09-08
1567987200.0,181.56,185.92,176.29,180.9,3471246.58646,ETH-PERP,2019-09-09
1568073600.0,180.89,184.67,176.58,179.9,7728889.99648,ETH-PERP,2019-09-10
1568160000.0,179.9,182.73,173.67,178.5,5198888.25378,ETH-PERP,2019-09-11
1568246400.0,178.5,182.95,176.72,181.15,2155594.89746,ETH-PERP,2019-09-12
1568332800.0,181.15,181.98,177.67,181.54,2758653.08206,ETH-PERP,2019-09-13
1568419200.0,181.54,189.29,180.28,188.87,4030906.37757,ETH-PERP,2019-09-14
1568505600.0,188.88,191.03,186.37,189.39,2803170.02953,ETH-PERP,2019-09-15
1568592000.0,189.39,199.62,188.49,197.69,5904988.02046,ETH-PERP,2019-09-16
1568678400.0,197.69,215.22,196.32,208.01,16448367.76473,ETH-PERP,2019-09-17
1568764800.0,208.01,217.35,207.95,210.37,9038964.21982,ETH-PERP,2019-09-18
1568851200.0,210.37,224.54,202.41,221.06,13195235.46188,ETH-PERP,2019-09-19
1568937600.0,221.06,233.06,211.91,218.14,7180215.28717,ETH-PERP,2019-09-20
1569024000.0,218.14,221.57,213.3,215.02,4108739.47437,ETH-PERP,2019-09-21
1569110400.0,215.02,215.57,206.17,211.35,7489815.90211,ETH-PERP,2019-09-22
1569196800.0,211.31,211.92,198.07,201.29,8266275.84036,ETH-PERP,2019-09-23
1569283200.0,201.17,202.68,143.64,166.43,25890979.9345,ETH-PERP,2019-09-24
1569369600.0,166.13,174.92,162.32,170.1,10466498.49008,ETH-PERP,2019-09-25
1569456000.0,170.08,171.0,151.85,166.0,7604828.71392,ETH-PERP,2019-09-26
1569542400.0,166.0,177.07,161.05,174.12,8004248.69628,ETH-PERP,2019-09-27
1569628800.0,174.12,175.75,168.29,173.79,5086790.03594,ETH-PERP,2019-09-28
1569715200.0,173.79,174.76,164.4,169.4,4150809.52761,ETH-PERP,2019-09-29
1569801600.0,169.4,181.73,165.18,181.27,7997558.33728,ETH-PERP,2019-09-30
1569888000.0,181.26,185.75,173.43,176.13,5998411.01055,ETH-PERP,2019-10-01
1569974400.0,176.07,181.62,174.14,180.79,2767961.38525,ETH-PERP,2019-10-02
1570060800.0,180.79,181.42,169.52,175.17,6145512.2233,ETH-PERP,2019-10-03
1570147200.0,175.17,179.56,171.09,175.95,3055957.84655,ETH-PERP,2019-10-04
1570233600.0,175.95,177.09,172.31,176.76,3886323.23832,ETH-PERP,2019-10-05
1570320000.0,176.76,177.32,167.61,170.21,6410545.90386,ETH-PERP,2019-10-06
1570406400.0,170.19,182.67,168.74,180.32,6970995.20179,ETH-PERP,2019-10-07
1570492800.0,180.36,185.31,177.45,180.74,6211873.55479,ETH-PERP,2019-10-08
1570579200.0,180.77,196.06,179.32,193.31,15202147.73804,ETH-PERP,2019-10-09
1570665600.0,193.31,194.85,187.67,191.95,9250048.75287,ETH-PERP,2019-10-10
1570752000.0,191.95,197.95,179.7,181.02,10079912.77169,ETH-PERP,2019-10-11
1570838400.0,181.02,185.04,177.52,179.86,7335673.52342,ETH-PERP,2019-10-12
1570924800.0,179.86,184.79,178.74,181.27,7101594.0164,ETH-PERP,2019-10-13
1571011200.0,181.27,188.06,180.7,187.15,6215344.38018,ETH-PERP,2019-10-14
1571097600.0,187.15,188.85,176.5,180.77,11402449.93607,ETH-PERP,2019-10-15
1571184000.0,180.78,181.59,171.7,174.42,9887988.97889,ETH-PERP,2019-10-16
1571270400.0,174.42,179.01,172.58,177.21,5531375.36058,ETH-PERP,2019-10-17
1571356800.0,177.21,177.33,168.22,173.0,10094589.79431,ETH-PERP,2019-10-18
1571443200.0,173.0,175.12,169.71,172.1,11527971.10524,ETH-PERP,2019-10-19
1571529600.0,172.1,176.81,169.24,175.53,13046538.11864,ETH-PERP,2019-10-20
1571616000.0,175.53,178.1,171.76,174.25,7451828.93831,ETH-PERP,2019-10-21
1571702400.0,174.25,175.31,170.49,171.41,5675166.94931,ETH-PERP,2019-10-22
1571788800.0,171.41,171.53,151.84,162.29,14914875.26738,ETH-PERP,2019-10-23
1571875200.0,162.31,163.85,158.84,160.54,9094621.28167,ETH-PERP,2019-10-24
1571961600.0,160.52,188.18,159.88,181.75,18153494.26935,ETH-PERP,2019-10-25
1572048000.0,181.75,192.1,174.11,180.15,48849143.62777,ETH-PERP,2019-10-26
1572134400.0,180.15,189.2,177.02,184.48,35127876.23956,ETH-PERP,2019-10-27
1572220800.0,184.52,190.3,180.94,182.16,23789467.40571,ETH-PERP,2019-10-28
1572307200.0,182.18,193.62,181.73,191.17,21169368.39754,ETH-PERP,2019-10-29
1572393600.0,191.17,192.39,180.27,183.69,14338530.38933,ETH-PERP,2019-10-30
1572480000.0,183.69,185.98,178.21,182.8,10925897.39089,ETH-PERP,2019-10-31
1572566400.0,182.8,185.22,176.6,183.62,6499429.77565,ETH-PERP,2019-11-01
1572652800.0,183.62,186.23,182.0,183.34,5291038.68721,ETH-PERP,2019-11-02
1572739200.0,183.34,185.25,179.17,181.78,5661670.44789,ETH-PERP,2019-11-03
1572825600.0,181.79,189.56,180.65,186.22,11858220.52108,ETH-PERP,2019-11-04
1572912000.0,186.22,192.5,182.47,188.84,23527432.34877,ETH-PERP,2019-11-05
1572998400.0,188.84,194.73,187.86,191.2,13857679.3147,ETH-PERP,2019-11-06
1573084800.0,191.24,192.35,184.23,186.68,9386366.68705,ETH-PERP,2019-11-07
1573171200.0,186.69,188.29,180.83,183.75,7900408.20487,ETH-PERP,2019-11-08
1573257600.0,183.74,185.9,182.72,185.01,3400579.95061,ETH-PERP,2019-11-09
1573344000.0,185.01,192.36,183.42,189.1,7912013.15462,ETH-PERP,2019-11-10
1573430400.0,189.11,190.32,183.85,184.76,5266435.41106,ETH-PERP,2019-11-11
1573516800.0,184.76,187.61,181.68,187.07,8970852.48153,ETH-PERP,2019-11-12
1573603200.0,187.07,189.6,185.23,187.92,8072163.0726,ETH-PERP,2019-11-13
1573689600.0,187.92,188.59,182.51,184.63,6489438.62445,ETH-PERP,2019-11-14
1573776000.0,184.63,187.12,176.72,179.81,9799335.85417,ETH-PERP,2019-11-15
